"ID","product","time","user","aspect","norm_asp","polarity","norm_pol","sarst"
"7.4.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","lens cap","lens","negative","-1","STATEMENT"
"7.5.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","audio on video","audio on video","negative","-1","AFFECTIVE-REACTION"
"7.6.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","pictures quality","pictures","positive","1","AFFECTIVE-REACTION"
"7.6.2","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","shutter delay","shutter delay","neutral","0","STATEMENT"
"7.7.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","service","service","neutral","0","STATEMENT"
"8.1.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","neutral","0","STATEMENT"
"8.2.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","camera","camera","positive","1","AFFECTIVE-REACTION"
"8.3.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","neutral","0","STATEMENT"
"8.4.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","neutral","0","STATEMENT"
"8.5.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","negative","-1","STATEMENT"
"8.6.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","neutral","0","STATEMENT"
"8.7.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","positive","1","STATEMENT"
"8.8.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","neutral","0","STATEMENT"
"8.9.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","nikon coolpix 4300","camera","neutral","0","STATEMENT"
"8.10.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","settings","settings","neutral","0","STATEMENT"
"8.10.2","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","size","size","neutral","0","STATEMENT"
"8.10.3","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","price","price","neutral","0","STATEMENT"
"8.10.4","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","brand","brand","neutral","0","STATEMENT"
"8.10.5","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","software","software","neutral","0","STATEMENT"
"8.11.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","camera","camera","positive","1","SENTIMENT"
"8.12.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","picture","pictures","positive","1","AFFECTIVE-REACTION"
"8.13.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","camera","camera","negative","-1","AFFECTIVE-REACTION"
"8.14.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","indoor setting","indoor setting","negative","-1","AFFECTIVE-REACTION"
"8.15.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","delay","delay","negative","-1","AFFECTIVE-REACTION"
"8.16.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","picture quality","pictures","negative","-1","AFFECTIVE-REACTION"
"8.17.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","camera problems","camera problems","negative","-1","STATEMENT"
"8.18.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","tripod","tripod","neutral","0","STATEMENT"
"8.19.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","256 mb","memory card","neutral","0","STATEMENT"
"8.19.2","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","usb card reader","usb","neutral","0","STATEMENT"
"8.19.3","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","camera bag","camera bag","negative","-1","STATEMENT"
"8.19.4","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","warranty","service","negative","-1","STATEMENT"
"8.20.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","pictures","pictures","positive","1","STATEMENT"
"8.21.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","other","other","neutral","0","STATEMENT"
"8.22.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","photographs","photographs","positive","1","SENTIMENT"
"8.23.1","Nikon Coolpix 4300","2024-05-21T01:42:29.886Z","User-YI7F4","photographs","photographs","positive","1","AFFECTIVE-REACTION"
"9.1.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","other","other","negative","-1","STATEMENT"
"9.2.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","4300","camera","positive","1","SENTIMENT"
"9.3.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","lense","lens","positive","1","AFFECTIVE-REACTION"
"9.3.2","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","pictures","pictures","positive","1","AFFECTIVE-REACTION"
"9.4.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","auto","auto mode","neutral","0","STATEMENT"
"9.4.2","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","scene mode","scene mode","neutral","0","STATEMENT"
"9.5.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","movie mode","movie mode","positive","1","AFFECTIVE-REACTION"
"9.6.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","software","software","positive","1","AFFECTIVE-REACTION"
"9.6.2","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","accessories","accessories","positive","1","STATEMENT"
"9.7.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","memory card","memory card","neutral","0","STATEMENT"
"9.8.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","print ordering","print","positive","1","AFFECTIVE-REACTION"
"9.9.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","print quality","print","positive","1","STATEMENT"
"9.10.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","battery life","battery","positive","1","AFFECTIVE-REACTION"
"9.10.2","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","battery usage","battery","negative","-1","STATEMENT"
"9.11.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","battery","battery","neutral","0","STATEMENT"
"9.11.2","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","charging speed","charging speed","positive","1","STATEMENT"
"9.12.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","accessory kit","accessories","positive","1","AFFECTIVE-REACTION"
"9.13.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","camera bag","camera bag","positive","1","AFFECTIVE-REACTION"
"9.14.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","accessory kit","accessories","positive","1","STATEMENT"
"9.15.1","Nikon Coolpix 4300","2024-05-27T12:29:53.484Z","User-bTgJG","camera","camera","positive","1","AFFECTIVE-REACTION"
"10.1.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","review","review","positive","1","STATEMENT"
"10.2.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","other","other","positive","1","AFFECTIVE-REACTION"
"10.3.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","other","other","negative","-1","STATEMENT"
"10.4.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","coolpix 4300","camera","neutral","0","STATEMENT"
"10.5.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","picture","pictures","negative","-1","STATEMENT"
"10.6.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","other","other","positive","1","STATEMENT"
"10.7.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","other","other","positive","1","AFFECTIVE-REACTION"
"10.8.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","blurriness","blurriness","neutral","0","STATEMENT"
"10.9.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","other","other","positive","1","STATEMENT"
"10.10.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","features","features","positive","1","AFFECTIVE-REACTION"
"10.11.1","Nikon Coolpix 4300","2024-05-10T20:02:40.638Z","User-qS59n","camera","camera","negative","-1","AFFECTIVE-REACTION"
"11.1.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","nikon 4300","camera","neutral","0","STATEMENT"
"11.2.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","camera","camera","neutral","0","STATEMENT"
"11.3.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","picture","pictures","positive","1","AFFECTIVE-REACTION"
"11.4.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","digital zoom","zoom","positive","1","STATEMENT"
"11.4.2","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","optical zoom","zoom","positive","1","STATEMENT"
"11.5.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","picture","pictures","negative","-1","AFFECTIVE-REACTION"
"11.5.2","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","deleting pics","deleting pics","negative","-1","AFFECTIVE-REACTION"
"11.5.3","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","focusing","focusing","negative","-1","AFFECTIVE-REACTION"
"11.5.4","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","lighting adjustments","lighting adjustments","neutral","0","STATEMENT"
"11.5.5","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","camera","camera","positive","1","AFFECTIVE-REACTION"
"11.6.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","picture","pictures","positive","1","SENTIMENT"
"11.7.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","sunset feature","sunset feature","positive","1","AFFECTIVE-REACTION"
"11.8.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","software","software","positive","1","AFFECTIVE-REACTION"
"11.9.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","touchups","touchups","positive","1","AFFECTIVE-REACTION"
"11.9.2","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","redeye","redeye","positive","1","AFFECTIVE-REACTION"
"11.10.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","memory card","memory card","positive","1","STATEMENT"
"11.11.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","memory card","memory card","neutral","0","STATEMENT"
"11.11.2","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","resolution","resolution","positive","1","AFFECTIVE-REACTION"
"11.12.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","picture","pictures","neutral","0","STATEMENT"
"11.13.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","battery life","battery","positive","1","AFFECTIVE-REACTION"
"11.13.2","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","rechargeable batteries","battery","neutral","0","STATEMENT"
"11.13.3","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","alkaline backup","alkaline backup","neutral","0","STATEMENT"
"11.13.4","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","emergency pics","pictures","neutral","0","STATEMENT"
"11.14.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","camera","camera","positive","1","AFFECTIVE-REACTION"
"11.15.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","other","other","neutral","0","STATEMENT"
"11.16.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","other","other","positive","1","STATEMENT"
"11.17.1","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","camera","camera","positive","1","AFFECTIVE-REACTION"
"11.17.2","Nikon Coolpix 4300","2024-05-05T14:21:56.386Z","User-r6Mwo","investment","investment","positive","1","AFFECTIVE-REACTION"
"12.1.1","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","other","other","neutral","0","STATEMENT"
"12.2.1","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","use","usability","positive","1","AFFECTIVE-REACTION"
"12.2.2","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","quality","quality","positive","1","AFFECTIVE-REACTION"
"12.2.3","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","size","size","positive","1","AFFECTIVE-REACTION"
"12.3.1","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","battery","battery","positive","1","STATEMENT"
"12.3.2","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","memory card","memory card","positive","1","STATEMENT"
"12.4.1","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","auto settings","auto settings","positive","1","STATEMENT"
"12.5.1","Nikon Coolpix 4300","2024-05-26T11:54:05.829Z","User-AzN11","nikon coolpix 4300","camera","positive","1","STATEMENT"
"13.1.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","nikon coolpix 4300","camera","neutral","0","STATEMENT"
"13.2.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","camera","camera","positive","1","AFFECTIVE-REACTION"
"13.3.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","picture quality","pictures","positive","1","AFFECTIVE-REACTION"
"13.3.2","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","use","usability","positive","1","AFFECTIVE-REACTION"
"13.4.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","pics","pictures","negative","-1","AFFECTIVE-REACTION"
"13.5.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","lcd","lcd","negative","-1","AFFECTIVE-REACTION"
"13.6.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","download speed","download speed","positive","1","AFFECTIVE-REACTION"
"13.7.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","control","control","positive","1","AFFECTIVE-REACTION"
"13.8.1","Nikon Coolpix 4300","2024-05-17T17:11:24.385Z","User-fza05","camera","camera","positive","1","AFFECTIVE-REACTION"
"14.1.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","camera","camera","positive","1","SENTIMENT"
"14.2.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","size","size","positive","1","AFFECTIVE-REACTION"
"14.2.2","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","image quality","pictures","positive","1","STATEMENT"
"14.3.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","settings","settings","negative","-1","STATEMENT"
"14.4.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","picture","pictures","positive","1","STATEMENT"
"14.4.2","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","image quality","pictures","positive","1","AFFECTIVE-REACTION"
"14.5.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","zoomed image","zoom","positive","1","AFFECTIVE-REACTION"
"14.6.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","memory card","memory card","positive","1","STATEMENT"
"14.7.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","image quality","pictures","negative","-1","STATEMENT"
"14.8.1","Nikon Coolpix 4300","2024-05-15T21:58:04.263Z","User-HwN02","camera","camera","positive","1","AFFECTIVE-REACTION"
